outbound_date,route,average_fare,median_fare,minimum_fare,maximum_fare,fare_std,observations,airlines,fare_range,volatility_pct,fare_change_pct
2026-09-12,CCU-MAA,21947.666666666668,19477.0,15693.0,30673.0,7789.624210020233,3,3,14980.0,35.49181026086402,
2026-09-13,CCU-MAA,15399.09090909091,15693.0,13906.0,17163.0,1081.5542940181474,11,2,3257.0,7.023494441348143,-29.83722988431158
2026-09-12,CCU-PNQ,22455.4,23024.0,18732.0,26609.0,2943.721505169944,5,2,7877.0,13.109192021384361,
2026-09-13,CCU-PNQ,17017.333333333332,16700.0,14723.0,20444.0,2006.2557788078768,9,3,5721.0,11.789483930940278,-24.217189035451025
2026-09-12,COK-AMD,26182.0,26182.0,26182.0,26182.0,0.0,1,1,0.0,0.0,
2026-09-12,COK-BLR,12939.0,12939.0,12939.0,12939.0,0.0,1,1,0.0,0.0,
2026-09-13,COK-BLR,15590.2,14800.0,11270.0,19735.0,2637.8715241227687,10,2,8465.0,16.920062116732105,20.489991498570227
2026-09-12,COK-BOM,22520.833333333332,21807.0,14632.0,30530.0,6584.5461625435255,6,4,15898.0,29.237577780026758,
2026-09-13,COK-BOM,18152.5,17128.0,15583.0,24530.0,2574.4280741731545,12,4,8947.0,14.182223242931578,-19.396854764107307
2026-09-12,COK-CCU,32011.0,32011.0,32011.0,32011.0,0.0,1,1,0.0,0.0,
2026-09-12,COK-DEL,30229.8,26139.0,23597.0,41662.0,7966.293598656781,5,4,18065.0,26.352452211581884,
2026-09-13,COK-DEL,26348.846153846152,25332.0,23532.0,31657.0,2696.561509470714,13,3,8125.0,10.23407815934701,-12.838172419777328
2026-09-12,COK-GOI,20951.0,20951.0,20951.0,20951.0,0.0,1,1,0.0,0.0,
2026-09-12,COK-MAA,72786.0,72786.0,72786.0,72786.0,0.0,1,1,0.0,0.0,
2026-09-12,COK-PNQ,19502.25,18405.0,14929.0,26270.0,5329.14692203796,4,2,11341.0,27.325805596984758,
2026-09-12,DEL-AMD,13020.333333333334,13303.0,12358.0,13400.0,575.6442767311538,3,2,1042.0,4.421117816219404,
2026-09-13,DEL-AMD,15004.23076923077,15101.0,11325.0,22281.0,3042.132260817681,13,2,10956.0,20.27516310303753,15.236917405320671
2026-09-12,DEL-BLR,17358.25,17436.0,16878.0,17820.0,296.7908113710493,8,3,942.0,1.7097968480177972,
