month,route,average_fare,median_fare,minimum_fare,maximum_fare,fare_std,observations,volatility_pct,fare_change_pct
2026-09,HYD-COK,30973.933333333334,29314.0,23295.0,43669.0,6600.581591979677,15,21.310117513800883,
2026-09,HYD-DEL,17585.24,17590.0,16262.0,19889.0,940.9348312538255,25,5.35070793036561,
2026-09,HYD-GOI,13926.333333333334,14321.0,11779.0,16324.0,1651.8374819172336,6,11.86125193458843,
2026-09,HYD-MAA,13242.3,12813.0,11944.0,15332.0,1365.3448119634668,10,10.31048089805749,
2026-09,HYD-PNQ,11665.0,10565.0,9095.0,22535.0,4143.745889892381,9,35.52289661287939,
2026-09,MAA-AMD,23634.38888888889,19098.0,17076.0,39077.0,7910.879256098852,18,33.47190102223439,
2026-09,MAA-BLR,15199.076923076924,8266.0,7646.0,38318.0,12283.676963498745,13,80.81857224400454,
2026-09,MAA-BOM,15036.0,14399.0,13924.0,21767.0,2086.762638081367,14,13.878442658162857,
2026-09,MAA-CCU,20849.833333333332,18370.5,15394.0,50777.0,9726.467029645857,12,46.65009486716532,
2026-09,MAA-COK,40356.6,15031.0,13366.0,242616.0,71309.78658594718,10,176.69919315786558,
2026-09,MAA-DEL,23989.058823529413,20792.0,19028.0,41659.0,7099.814579186102,17,29.59605306491776,
2026-09,MAA-GOI,18397.18181818182,18614.0,12077.0,27688.0,4623.207108018888,11,25.129974545611116,
2026-09,MAA-HYD,16767.75,13313.0,11662.0,38269.0,8792.768124740613,12,52.43856882849883,
2026-09,MAA-PNQ,12641.583333333334,11499.5,9830.0,19302.0,2748.792179661769,12,21.744049832854024,
2026-09,PNQ-AMD,8694.111111111111,8830.0,7066.0,10071.0,986.2628255749635,9,11.344032908833144,
2026-09,PNQ-BLR,10349.235294117647,9308.0,8977.0,23018.0,3346.0466323971746,17,32.331341759125124,
2026-09,PNQ-CCU,16288.333333333334,14873.5,13854.0,29169.0,4333.844720407742,12,26.607048319294435,
2026-09,PNQ-COK,25499.8,16428.0,13509.0,52269.0,16115.122401910925,15,63.1970541020358,
2026-09,PNQ-DEL,17427.782608695652,14599.0,13861.0,31732.0,5155.516612474637,23,29.582171916135074,
2026-09,PNQ-GOI,29013.81818181818,24778.0,19323.0,47726.0,10765.82300447283,11,37.10584707261779,
2026-09,PNQ-HYD,10099.25,9961.0,8940.0,11457.0,875.9653858131928,8,8.67356868889465,
2026-09,PNQ-MAA,11841.666666666666,10801.0,9830.0,16581.0,2113.457120454541,9,17.847632262811043,
