outbound_date,route,average_fare,base_fare,route_index,route_weight,weighted_contribution
2026-09-12,GOI-BLR,28177.333333333332,28177.333333333332,100.0,0.0,0.0
2026-09-12,GOI-BOM,16161.666666666666,16161.666666666666,100.0,0.0,0.0
2026-09-12,GOI-CCU,31869.5,31869.5,100.0,0.0,0.0
2026-09-12,GOI-COK,37964.75,37964.75,100.0,0.0,0.0
2026-09-12,GOI-DEL,21103.0,21103.0,100.0,0.0,0.0
2026-09-12,GOI-HYD,32392.5,32392.5,100.0,0.0,0.0
2026-09-12,GOI-MAA,31727.0,31727.0,100.0,0.0,0.0
2026-09-12,HYD-AMD,27763.75,27763.75,100.0,0.0,0.0
2026-09-12,HYD-BLR,15232.25,15232.25,100.0,0.0,0.0
2026-09-12,HYD-BOM,24849.75,24849.75,100.0,0.0,0.0
2026-09-12,HYD-CCU,22671.0,22671.0,100.0,0.0,0.0
2026-09-12,HYD-COK,35869.0,35869.0,100.0,0.0,0.0
2026-09-12,HYD-DEL,18641.0,18641.0,100.0,0.0,0.0
2026-09-12,HYD-GOI,16324.0,16324.0,100.0,0.0,0.0
2026-09-12,HYD-MAA,15332.0,15332.0,100.0,0.0,0.0
2026-09-12,HYD-PNQ,22535.0,22535.0,100.0,0.0,0.0
2026-09-12,MAA-AMD,33113.5,33113.5,100.0,0.0,0.0
2026-09-12,MAA-BLR,26622.0,26622.0,100.0,0.0,0.0
2026-09-12,MAA-BOM,19372.0,19372.0,100.0,0.0,0.0
2026-09-12,MAA-CCU,30953.333333333332,30953.333333333332,100.0,0.0,0.0
2026-09-12,MAA-COK,13366.0,13366.0,100.0,0.0,0.0
2026-09-12,MAA-DEL,28743.6,28743.6,100.0,0.0,0.0
2026-09-12,MAA-GOI,22727.0,22727.0,100.0,0.0,0.0
2026-09-12,MAA-HYD,22389.8,22389.8,100.0,0.0,0.0
2026-09-12,MAA-PNQ,15734.0,15734.0,100.0,0.0,0.0
2026-09-12,PNQ-AMD,9881.0,9881.0,100.0,0.0,0.0
2026-09-12,PNQ-BLR,13180.0,13180.0,100.0,0.0,0.0
2026-09-12,PNQ-CCU,14728.0,14728.0,100.0,0.0,0.0
2026-09-12,PNQ-COK,43695.0,43695.0,100.0,0.0,0.0
2026-09-12,PNQ-DEL,23144.75,23144.75,100.0,0.0,0.0
2026-09-12,PNQ-GOI,44637.666666666664,44637.666666666664,100.0,0.0,0.0
2026-09-12,PNQ-HYD,10355.5,10355.5,100.0,0.0,0.0
2026-09-12,PNQ-MAA,12896.0,12896.0,100.0,0.0,0.0
2026-09-13,AMD-BLR,16437.615384615383,27577.333333333332,59.60552888102083,0.0,0.0
2026-09-13,AMD-BOM,9363.92857142857,11795.0,79.38896626900018,0.0,0.0
2026-09-13,AMD-CCU,17157.75,25774.333333333332,66.56913208230411,0.0,0.0
2026-09-13,AMD-COK,22874.25,27479.666666666668,83.24063853273329,0.0,0.0
2026-09-13,AMD-DEL,14011.933333333332,15542.333333333334,90.15334462864863,0.0,0.0
2026-09-13,AMD-GOI,15775.857142857143,28503.5,55.347087701009144,0.0,0.0
2026-09-13,AMD-HYD,15231.8,25327.2,60.140086547269334,0.0,0.0
2026-09-13,AMD-MAA,16819.0,26292.0,63.97002890613114,0.0,0.0
2026-09-13,AMD-PNQ,13757.555555555555,17992.333333333332,76.46343195558603,0.0,0.0
2026-09-13,BLR-AMD,17660.9,24947.8,70.79141246923577,0.0,0.0
2026-09-13,BLR-BOM,14283.0,20649.375,69.16916371560883,0.2,13.833832743121768
2026-09-13,BLR-CCU,19009.619047619046,25515.333333333332,74.50272665176122,0.0,0.0
2026-09-13,BLR-COK,40403.7,15617.0,258.71614266504446,0.0,0.0
2026-09-13,BLR-DEL,18750.727272727272,35117.77777777778,53.39383201118314,0.25,13.348458002795786
2026-09-13,BLR-GOI,13918.0,,,0.0,
2026-09-13,BLR-HYD,12179.285714285714,15838.666666666666,76.89590273351533,0.0,0.0
2026-09-13,BLR-MAA,7998.8,8099.0,98.7628102234844,0.0,0.0
2026-09-13,BLR-PNQ,10001.307692307691,16668.4,60.00160598682351,0.0,0.0
2026-09-13,BOM-AMD,8700.6,10831.0,80.33053273012649,0.0,0.0
2026-09-13,BOM-BLR,12805.222222222223,19484.5,65.72004527815557,0.0,0.0
2026-09-13,BOM-CCU,17993.5,24559.0,73.26641964249359,0.0,0.0
2026-09-13,BOM-COK,18576.7,37172.8,49.97390565144407,0.0,0.0
2026-09-13,BOM-DEL,13422.44,22242.2,60.346728291266146,0.0,0.0
2026-09-13,BOM-GOI,16469.25,29371.25,56.072690130654976,0.0,0.0
2026-09-13,BOM-HYD,12135.777777777777,19998.0,60.684957384627346,0.1,6.068495738462735
2026-09-13,BOM-MAA,15566.833333333334,16893.0,92.1496083190276,0.0,0.0
2026-09-13,BOM-PNQ,24724.555555555555,,,0.0,
2026-09-13,CCU-AMD,19658.2,21508.0,91.39947926352986,0.0,0.0
2026-09-13,CCU-BLR,18946.944444444445,21252.75,89.15055437270209,0.0,0.0
2026-09-13,CCU-BOM,18115.785714285714,20747.666666666668,87.31480992699122,0.0,0.0
2026-09-13,CCU-COK,30423.416666666668,31666.0,96.07597002042148,0.0,0.0
2026-09-13,CCU-DEL,16901.625,17244.5,98.0116848850358,0.0,0.0
2026-09-13,CCU-GOI,30047.0,36891.5,81.44694577341664,0.0,0.0
2026-09-13,CCU-HYD,22094.272727272728,22513.0,98.1400645283735,0.0,0.0
2026-09-13,CCU-MAA,15399.09090909091,21947.666666666668,70.16277011568842,0.0,0.0
2026-09-13,CCU-PNQ,17017.333333333332,22455.4,75.78281096454897,0.0,0.0
2026-09-13,COK-BLR,15590.2,12939.0,120.48999149857022,0.0,0.0
2026-09-13,COK-BOM,18152.5,22520.833333333332,80.6031452358927,0.0,0.0
2026-09-13,COK-DEL,26348.846153846152,30229.8,87.16182758022268,0.0,0.0
2026-09-13,DEL-AMD,15004.23076923077,13020.333333333334,115.23691740532067,0.0,0.0
2026-09-13,DEL-BLR,18122.708333333332,17358.25,104.40400578015256,0.0,0.0
2026-09-13,DEL-BOM,13655.08695652174,14203.181818181818,96.14104171391759,0.3,28.842312514175276
2026-09-13,DEL-CCU,18479.736842105263,17705.333333333332,104.37384314766886,0.0,0.0
2026-09-13,DEL-COK,25372.25,30234.428571428572,83.91840427894405,0.0,0.0
2026-09-13,DEL-GOI,20623.333333333332,32757.11111111111,62.95833983460758,0.0,0.0
2026-09-13,DEL-HYD,16852.30769230769,16838.0,100.08497263515675,0.15,15.012745895273511
2026-09-13,DEL-MAA,20782.25,31105.0,66.81321330975727,0.0,0.0
2026-09-13,DEL-PNQ,15061.35294117647,22306.6,67.5197158741201,0.0,0.0
2026-09-13,HYD-AMD,14497.42857142857,27763.75,52.21711249895483,0.0,0.0
2026-09-13,HYD-BLR,10299.833333333334,15232.25,67.618594320165,0.0,0.0
2026-09-13,HYD-BOM,12515.833333333334,24849.75,50.3660331928222,0.0,0.0
2026-09-13,HYD-CCU,19649.428571428572,22671.0,86.67208579872336,0.0,0.0
2026-09-13,HYD-COK,25379.571428571428,35869.0,70.75628377867079,0.0,0.0
2026-09-13,HYD-DEL,17251.842105263157,18641.0,92.54783598124111,0.0,0.0
2026-09-13,HYD-GOI,13446.8,16324.0,82.3744180347954,0.0,0.0
2026-09-13,HYD-MAA,13010.111111111111,15332.0,84.85592950111605,0.0,0.0
2026-09-13,HYD-PNQ,10306.25,22535.0,45.73441313512314,0.0,0.0
2026-09-13,MAA-AMD,18894.833333333332,33113.5,57.060816082061194,0.0,0.0
2026-09-13,MAA-BLR,8059.75,26622.0,30.274772744346777,0.0,0.0
2026-09-13,MAA-BOM,14313.333333333334,19372.0,73.88670933994081,0.0,0.0
